No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Tertinggi,Rata-Rata,Terendah
29,Pasar Pesanggrahan,70000,60000,65000,65000,65000,65000,60000,60000,60000,58000,58000,55000,55000,55000,55000,55000,48000,48000,48000,48000,48000,48000,65000,65000,65000,60000,40000,40000,40000,70000,56000,40000
30,Pasar Pondok Labu,75000,75000,70000,70000,70000,70000,70000,70000,70000,70000,60000,60000,60000,50000,55000,55000,50000,40000,50000,50000,60000,60000,60000,60000,60000,60000,60000,50000,50000,75000,60690,40000
31,Pasar Lenteng Agung,60000,60000,55000,65000,60000,70000,65000,65000,60000,60000,60000,60000,60000,60000,60000,55000,55000,55000,50000,50000,55000,55000,50000,65000,65000,65000,55000,55000,45000,70000,58448,45000
32,Pasar Mampang Prapatan,55000,55000,70000,70000,70000,70000,70000,70000,70000,70000,60000,60000,60000,55000,55000,55000,55000,50000,50000,60000,60000,60000,70000,70000,70000,60000,40000,40000,40000,70000,60000,40000
33,Pasar Tebet Barat,80000,80000,80000,80000,80000,80000,80000,80000,70000,70000,75000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,60000,80000,70000,70000,70000,70000,60000,60000,80000,69483,60000
34,Pasar Rumput,60000,65000,65000,65000,65000,65000,60000,65000,60000,60000,55000,55000,50000,50000,55000,60000,60000,45000,55000,55000,50000,50000,55000,60000,55000,55000,60000,50000,50000,65000,57069,45000
35,Pasar Tomang Barat,65000,65000,65000,70000,70000,70000,70000,60000,60000,60000,60000,55000,55000,55000,55000,55000,55000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,59828,50000
36,Pasar Cengkareng,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
37,Pasar Kalideres,80000,80000,70000,70000,75000,75000,70000,60000,60000,70000,65000,65000,65000,50000,55000,45000,45000,45000,50000,50000,50000,55000,55000,55000,55000,50000,55000,40000,45000,80000,58793,40000
38,Pasar Pos Pengumben,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,50000,60000,60000,60000,60000,60000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,55000,55000,70000,61724,50000
39,Pasar Pal Merah,75000,75000,70000,75000,75000,65000,65000,70000,60000,60000,60000,55000,60000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,65000,50000,45000,45000,45000,75000,59483,45000
40,Pasar Jembatan Lima,65000,65000,65000,65000,65000,60000,65000,65000,65000,65000,65000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,65000,65000,65000,65000,50000,40000,60000,40000,65000,57586,40000
41,Pasar Kelapa Gading,80000,80000,80000,75000,70000,70000,70000,70000,70000,65000,60000,65000,65000,65000,65000,65000,50000,50000,70000,70000,70000,70000,70000,70000,70000,70000,65000,65000,60000,80000,67759,50000
42,Pasar Pademangan Timur,80000,80000,80000,65000,70000,65000,65000,65000,65000,65000,65000,60000,60000,55000,55000,55000,55000,55000,50000,45000,50000,50000,50000,50000,65000,60000,60000,40000,40000,80000,59310,40000
43,Pasar Pluit,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,80000,70000,70000,70000,65000,60000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,60000,60000,60000,90000,73966,60000
44,Pasar Kalibaru,80000,70000,70000,70000,70000,70000,60000,60000,60000,60000,50000,50000,50000,50000,40000,40000,40000,50000,60000,40000,60000,60000,60000,55000,55000,55000,40000,40000,40000,80000,55345,40000
45,Pasar Koja Baru,80000,80000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,40000,40000,40000,40000,60000,60000,60000,60000,60000,60000,70000,60000,60000,55000,60000,60000,80000,62586,40000
46,Pasar Rawamangun,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,60000,60000,60000,55000,55000,55000,55000,55000,55000,55000,55000,65000,65000,65000,65000,65000,65000,70000,63793,55000
47,Pasar Klender SS,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,65000,65000,65000,60000,60000,60000,50000,50000,50000,65000,58103,50000
48,Pasar Anyer Bahari,85000,85000,80000,85000,85000,80000,80000,80000,80000,60000,60000,60000,55000,55000,55000,55000,50000,50000,50000,80000,60000,60000,60000,80000,80000,70000,60000,60000,60000,85000,67586,50000
