No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,31000,28000,27000,28000,29000,32000,34000,29000,23000,20000,19000,18000,19000,19000,20000,18000,21000,19000,17000,16000,18000,17000,20000,18000,16000,15000,17000,18000,19000,16000,13000,34000,21097,13000
2,Pasar Senen Blok III - VI,65000,60000,60000,50000,60000,60000,60000,60000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,65000,46613,40000
3,Pasar Jembatan Merah,60000,60000,60000,55000,55000,55000,55000,55000,55000,50000,50000,55000,55000,55000,60000,60000,60000,60000,50000,50000,60000,55000,55000,55000,55000,55000,55000,55000,55000,55000,40000,60000,55161,40000
4,Pasar Sunter Podomoro,70000,55000,55000,55000,55000,55000,55000,55000,55000,55000,45000,50000,50000,49000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,40000,40000,40000,35000,40000,40000,70000,46903,35000
5,Pasar Rawa Badak,45000,45000,45000,45000,40000,55000,52000,50000,52000,52000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,55000,41968,30000
6,Pasar Grogol,40000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,27000,27000,27000,25000,25000,45000,36968,25000
7,Pasar Glodok,50000,50000,50000,50000,50000,50000,60000,60000,60000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,35000,35000,35000,35000,30000,30000,30000,30000,30000,35000,40000,60000,42419,30000
8,Pasar Minggu,45000,45000,45000,45000,40000,40000,40000,40000,45000,45000,45000,45000,45000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,25000,45000,38226,25000
9,Pasar Mayestik,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,55000,55000,50000,50000,50000,55000,55000,55000,50000,50000,45000,45000,45000,45000,60000,51452,45000
10,Pasar Pramuka,70000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,50000,50000,50000,50000,40000,40000,70000,51613,40000
11,Pasar Kramat Jati,50000,50000,50000,50000,50000,50000,50000,50000,60000,40000,50000,40000,40000,40000,40000,50000,50000,40000,40000,45000,40000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,60000,45000,40000
12,Pasar Jatinegara,50000,50000,50000,40000,45000,40000,40000,45000,50000,50000,40000,50000,40000,40000,45000,45000,40000,40000,40000,35000,30000,35000,40000,35000,35000,30000,25000,30000,35000,30000,25000,50000,39516,25000
13,Pasar Perumnas Klender,60000,45000,50000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,35000,35000,40000,40000,35000,40000,35000,35000,40000,40000,40000,40000,35000,40000,35000,60000,40968,35000
14,Pasar Pulo Gadung,53000,36000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36000,40000,40000,40000,40000,32000,32000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,28000,30000,53000,35387,28000
