No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,12000,12000,12000,11000,10000,11000,10500,11000,12000,13000,14000,15000,15000,15000,13000,13000,14000,15000,14000,14000,15000,14000,13000,12000,14000,15000,14000,15000,14000,15000,15000,15000,13306,10000
2,Pasar Senen Blok III - VI,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,25968,25000
3,Pasar Jembatan Merah,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,32097,30000
4,Pasar Sunter Podomoro,26000,26000,26000,26000,26000,30000,30000,31000,32000,32000,32000,32000,32000,30000,31000,30000,32000,30000,31000,30000,30000,31000,30000,31000,32000,30000,32000,31000,31000,32000,32000,32000,30226,26000
5,Pasar Rawa Badak,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,30000,35000,35000,28548,25000
6,Pasar Grogol,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,24000,21484,20000
7,Pasar Glodok,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33000,33000,33000,33000,33000,33000,33000,33000,33000,35000,32323,30000
8,Pasar Minggu,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,23710,20000
9,Pasar Mayestik,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
10,Pasar Pramuka,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29194,25000
11,Pasar Kramat Jati,25000,25000,25000,30000,25000,25000,25000,25000,30000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,30000,30000,30000,25000,30000,30000,30000,30000,26613,25000
12,Pasar Jatinegara,25000,25000,25000,25000,20000,25000,25000,30000,25000,20000,20000,25000,25000,25000,25000,27000,27000,27000,25000,25000,27000,25000,27000,25000,27000,30000,25000,27000,27000,30000,30000,30000,25677,20000
13,Pasar Perumnas Klender,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,22419,20000
14,Pasar Pulo Gadung,24000,24000,24000,24000,24000,24000,25000,25000,25000,25000,25000,25000,25000,25000,27000,24000,25000,25000,28000,24000,24000,24000,24000,24000,24000,25000,25000,24000,24000,24000,25000,28000,24645,24000
15,Pasar Pal Meriam,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,24000,24000,24000,24000,24000,24000,18000,18000,18000,18000,18000,18000,18000,18000,18000,24000,19161,18000
16,Pasar Ciplak,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,20000,24000,24000,24000,24000,24000,24000,20000,20000,20000,20000,24000,20323,18000
17,Pasar Cijantung,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,28000,25000,28000,24935,20000
18,Pasar Cibubur,20000,20000,20000,20000,28000,28000,22000,22000,22000,24000,24000,20000,22000,24000,25000,25000,25000,25000,22000,26000,22000,24000,20000,20000,20000,20000,22000,25000,22000,28000,28000,28000,23065,20000
19,Pasar Ujung Menteng,23000,23000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,25000,25000,25000,25000,25000,20000,20000,20000,20000,28000,23000,23000,23000,25000,25000,28000,22387,20000
20,Pasar Tanah Abang Blok A-G,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,27000,25000,25000,30000,30000,25000,25000,30000,30000,30000,30000,29097,25000
21,Pasar Petojo Ilir,22000,22000,20000,20000,20000,28000,28000,25000,25000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,28000,28000,25000,25000,25000,25000,25000,25000,25000,28000,28000,28000,30000,25484,20000
22,Pasar Gondangdia,25000,25000,30000,30000,30000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29032,25000
23,Pasar Paseban,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,33000,33000,29935,25000
24,Pasar Cempaka Putih,15000,15000,15000,15000,15000,15000,15000,15000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22000,22000,30000,22387,15000
25,Pasar Johar Baru,25000,25000,25000,25000,25000,30000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,23000,25000,25000,25000,25000,25000,26000,27000,26000,26000,26000,30000,24161,20000
26,Pasar Baru Metro Atom,35000,35000,35000,35000,35000,30000,30000,35000,30000,30000,30000,30000,30000,30000,35000,30000,30000,35000,30000,30000,30000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,35000,31935,30000
27,Pasar Kebayoran Lama,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,30000,30000,30000,35000,25903,25000
28,Pasar Cipete,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22194,20000
29,Pasar Pesanggrahan,25000,25000,25000,25000,25000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25000,30000,30000,30000,30000,30000,30000,25484,20000
30,Pasar Pondok Labu,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,20000,20000,20000,25000,25000,25000,25000,25000,25000,24000,30000,30000,30000,30000,30000,23032,20000
31,Pasar Lenteng Agung,24000,24000,24000,24000,24000,25000,28000,25000,25000,25000,25000,25000,25000,25000,25000,28000,28000,28000,28000,28000,25000,20000,25000,25000,28000,28000,28000,30000,30000,30000,30000,30000,26194,20000
