No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,37000,36000,42000,45000,42000,40000,42000,43000,45000,47000,46000,47000,45000,52000,55000,52000,42000,37000,35000,34000,38000,37000,39000,38000,40000,39000,43000,50000,55000,57000,54000,57000,43677,34000
2,Pasar Senen Blok III - VI,55000,55000,40000,40000,40000,40000,40000,70000,70000,70000,55000,55000,55000,70000,70000,70000,75000,75000,75000,75000,75000,75000,70000,65000,65000,65000,65000,65000,65000,65000,65000,75000,62419,40000
3,Pasar Jembatan Merah,45000,45000,45000,45000,45000,45000,55000,65000,65000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,75000,75000,75000,90000,90000,71290,45000
4,Pasar Sunter Podomoro,50000,50000,50000,50000,49000,60000,58000,58000,58000,58000,59000,59000,70000,65000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,64000,49000
5,Pasar Rawa Badak,40000,55000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,59839,40000
6,Pasar Grogol,40000,40000,40000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,65000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,50000,70000,70000,55484,40000
7,Pasar Glodok,50000,60000,60000,65000,65000,70000,70000,70000,70000,70000,70000,70000,75000,80000,80000,80000,75000,75000,75000,75000,75000,75000,80000,80000,80000,80000,75000,75000,75000,90000,90000,90000,73548,50000
8,Pasar Minggu,45000,45000,45000,45000,50000,45000,50000,50000,50000,50000,55000,55000,55000,55000,65000,65000,65000,65000,65000,63000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,65000,53323,45000
9,Pasar Mayestik,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,85000,85000,85000,85000,80000,80000,85000,85000,85000,85000,68226,40000
10,Pasar Pramuka,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,64516,50000
11,Pasar Kramat Jati,45000,50000,75000,80000,80000,60000,60000,60000,70000,70000,70000,70000,70000,80000,80000,70000,80000,80000,70000,60000,70000,70000,60000,70000,70000,70000,60000,80000,80000,80000,80000,80000,70000,45000
12,Pasar Jatinegara,50000,50000,50000,60000,60000,60000,70000,70000,70000,70000,70000,70000,60000,70000,70000,75000,80000,70000,70000,70000,60000,60000,80000,60000,60000,65000,60000,65000,70000,70000,75000,80000,65806,50000
13,Pasar Perumnas Klender,50000,50000,45000,45000,50000,50000,50000,45000,45000,45000,45000,50000,40000,45000,45000,50000,50000,50000,50000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,48226,40000
14,Pasar Pulo Gadung,44000,50000,50000,50000,50000,72000,68000,70000,72000,72000,72000,70000,70000,72000,72000,72000,72000,72000,72000,50000,50000,54000,72000,72000,72000,72000,60000,66000,72000,76000,72000,76000,65484,44000
15,Pasar Pal Meriam,40000,40000,40000,40000,50000,45000,40000,40000,40000,40000,40000,55000,50000,50000,50000,50000,50000,50000,50000,40000,50000,55000,55000,40000,45000,40000,40000,40000,45000,68000,60000,68000,46387,40000
16,Pasar Ciplak,30000,30000,30000,30000,30000,30000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,55000,55000,55000,55000,55000,60000,53387,30000
17,Pasar Cijantung,50000,40000,65000,65000,65000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,60000,70000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,70000,65000,40000
