No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,12000,15000,15000,16000,15000,14000,13000,12000,13000,15000,12000,15000,11000,9000,9500,8000,10000,10000,10000,9000,11000,11000,10000,9000,12000,13000,10000,9000,10000,9000,16000,11583,8000
2,Pasar Senen Blok III - VI,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,40000,34333,30000
3,Pasar Jembatan Merah,50000,55000,55000,55000,55000,50000,50000,55000,50000,55000,55000,55000,55000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,55000,45833,40000
4,Pasar Sunter Podomoro,40000,40000,40000,40000,40000,32000,40000,40000,40000,35000,30000,30000,30000,35000,30000,40000,35000,35000,30000,30000,35000,35000,34000,32000,30000,25000,35000,35000,35000,35000,40000,34767,25000
5,Pasar Rawa Badak,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,29833,25000
6,Pasar Grogol,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,23000,23000,23000,23000,25000,25000,25000,23000,23000,23000,23000,25000,24467,23000
7,Pasar Glodok,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,35000,35000,30000,30000,40000,36500,30000
8,Pasar Minggu,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
9,Pasar Mayestik,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,45000,40000,40000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,42500,35000
10,Pasar Pramuka,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,40000,32833,25000
11,Pasar Kramat Jati,40000,40000,40000,40000,40000,35000,35000,35000,40000,35000,35000,35000,35000,35000,25000,25000,25000,25000,30000,25000,25000,30000,25000,25000,25000,35000,30000,35000,25000,25000,40000,31833,25000
12,Pasar Jatinegara,25000,40000,40000,35000,35000,35000,35000,25000,25000,30000,30000,30000,35000,35000,30000,30000,30000,35000,35000,30000,30000,30000,25000,35000,35000,35000,40000,35000,25000,30000,40000,32167,25000
13,Pasar Perumnas Klender,35000,35000,35000,35000,35000,35000,40000,35000,35000,35000,35000,35000,35000,40000,35000,40000,35000,35000,35000,35000,30000,35000,30000,35000,30000,30000,35000,35000,35000,30000,40000,34667,30000
14,Pasar Pulo Gadung,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,28000,28000,25000,24000,24000,24000,24000,24000,24000,24000,20000,20000,24000,20000,30000,27033,20000
15,Pasar Pal Meriam,35000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24000,24000,24000,24000,24000,24000,24000,24000,24000,20000,20000,24000,24000,24000,20000,20000,35000,24433,20000
16,Pasar Ciplak,35000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,35000,25833,20000
17,Pasar Cijantung,30000,30000,30000,30000,30000,30000,30000,30000,35000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,20000,35000,27000,20000
18,Pasar Cibubur,30000,35000,35000,30000,30000,30000,35000,25000,28000,30000,28000,25000,30000,35000,26000,28000,28000,25000,25000,25000,20000,25000,25000,24000,22000,24000,22000,24000,30000,24000,35000,27433,20000
19,Pasar Ujung Menteng,30000,30000,30000,30000,30000,28000,30000,30000,30000,30000,30000,25000,28000,30000,28000,30000,30000,30000,30000,30000,30000,32000,30000,30000,30000,30000,30000,35000,35000,35000,35000,30200,25000
20,Pasar Tanah Abang Blok A-G,50000,50000,50000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,40000,50000,45000,40000
21,Pasar Petojo Ilir,35000,35000,35000,35000,35000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,40000,33667,30000
22,Pasar Gondangdia,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,32667,30000
23,Pasar Paseban,35000,30000,35000,30000,30000,35000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,45000,40000,30000,40000,40000,40000,40000,40000,45000,40000,40000,40000,35000,30000,45000,34833,30000
24,Pasar Cempaka Putih,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,31667,30000
25,Pasar Johar Baru,30000,30000,30000,35000,25000,25000,25000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,35000,25500,20000
26,Pasar Baru Metro Atom,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,50000,50000,50000,50000,50000,40000,40000,40000,35000,35000,35000,30000,30000,30000,35000,50000,44667,30000
