No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
28,Pasar Cipete,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,20333,20000
29,Pasar Pesanggrahan,30000,30000,30000,25000,25000,25000,25000,25000,28000,28000,28000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25000,30000,26300,25000
30,Pasar Pondok Labu,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,22500,20000
31,Pasar Lenteng Agung,30000,30000,30000,30000,35000,30000,28000,25000,24000,25000,25000,25000,25000,25000,25000,24000,25000,25000,27000,27000,27000,27000,25000,22000,22000,22000,22000,22000,24000,24000,35000,25900,22000
32,Pasar Mampang Prapatan,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,20000,19400,18000
33,Pasar Tebet Barat,30000,30000,30000,35000,30000,35000,30000,25000,25000,35000,35000,35000,40000,30000,20000,20000,25000,35000,35000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,40000,28667,20000
34,Pasar Rumput,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,20000,20000,20000,20000,20000,19867,18000
35,Pasar Tomang Barat,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,26767,25000
36,Pasar Cengkareng,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
37,Pasar Kalideres,25000,25000,20000,20000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,20500,20000
