No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
28,Pasar Cipete,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,45000,45000,42100,38000
29,Pasar Pesanggrahan,50000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,50000,50000,55000,55000,46000,45000
30,Pasar Pondok Labu,45000,50000,50000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,40000,40000,40000,40000,40000,45000,50000,50000,50000,50000,50000,50000,50000,50000,44333,40000
31,Pasar Lenteng Agung,45000,40000,45000,45000,45000,40000,45000,45000,45000,40000,40000,40000,40000,40000,45000,45000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,40000,45000,45000,40000,45000,42333,40000
32,Pasar Mampang Prapatan,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
33,Pasar Tebet Barat,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,40000,40000,40000,45000,45000,50000,50000,45000,50000,50000,60000,60000,48667,40000
34,Pasar Rumput,45000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,43000,43000,45000,45000,45000,48000,45000,45000,45000,48000,50000,50000,40000,50000,44567,40000
35,Pasar Tomang Barat,40000,45000,45000,50000,45000,45000,45000,50000,45000,50000,45000,45000,45000,45000,45000,45000,50000,48000,48000,45000,45000,45000,48000,48000,45000,45000,45000,40000,40000,45000,50000,45567,40000
36,Pasar Cengkareng,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,50000,45167,45000
37,Pasar Kalideres,45000,40000,40000,40000,45000,40000,40000,40000,42000,42000,45000,40000,42000,40000,40000,40000,30000,40000,45000,45000,42000,40000,40000,40000,40000,45000,50000,45000,45000,50000,50000,41933,30000
38,Pasar Pos Pengumben,45000,45000,45000,40000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,41500,40000
39,Pasar Pal Merah,40000,40000,50000,45000,42000,48000,46000,46000,55000,40000,40000,40000,45000,50000,50000,40000,40000,40000,35000,40000,40000,40000,40000,40000,40000,40000,55000,50000,42000,50000,55000,43633,35000
40,Pasar Jembatan Lima,33000,33000,32000,32000,32000,31000,30000,30000,29000,31000,30000,28000,28000,28000,28000,30000,31000,32000,30000,28000,30000,30000,29000,30000,35000,30000,35000,30000,36000,40000,40000,31033,28000
41,Pasar Kelapa Gading,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,50000,45167,45000
42,Pasar Pademangan Timur,40000,40000,35000,35000,40000,35000,40000,40000,40000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,40000,40000,40000,45000,45000,45000,40000,45000,39600,35000
43,Pasar Pluit,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,44167,40000
44,Pasar Kalibaru,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,40000,40000,40000,50000,39667,35000
45,Pasar Koja Baru,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,45000,40000,40000,45000,45000,45000,40000,40000,40000,40000,40000,45000,43333,40000
46,Pasar Rawamangun,50000,50000,50000,50000,50000,50000,50000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,50000,50000,46500,45000
47,Pasar Klender SS,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,34333,30000
48,Pasar Anyer Bahari,45000,60000,50000,45000,45000,50000,50000,50000,55000,40000,50000,50000,60000,50000,50000,50000,50000,50000,50000,50000,40000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,50000,40000
