No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
34,Pasar Rumput,35000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,30000,35000,35000,38000,38000,38000,40000,40000,45000,40000,38000,38000,38000,40000,40000,40000,40000,43000,45000,45000,36645,30000
35,Pasar Tomang Barat,30000,35000,35000,40000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,45000,45000,45000,45000,45000,40000,45000,40000,45000,45000,40000,40000,45000,40161,30000
36,Pasar Cengkareng,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,41452,30000
37,Pasar Kalideres,40000,42000,42000,38000,38000,35000,38000,38000,38000,38000,40000,43000,45000,40000,40000,45000,38000,37000,40000,38000,35000,35000,40000,37000,40000,40000,40000,37000,38000,42000,45000,45000,39419,35000
38,Pasar Pos Pengumben,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,40806,40000
39,Pasar Pal Merah,35000,36000,35000,36000,38000,40000,40000,36000,45000,42000,42000,40000,38000,40000,40000,42000,42000,38000,40000,40000,35000,40000,40000,40000,40000,38000,45000,40000,38000,42000,40000,45000,39452,35000
40,Pasar Jembatan Lima,25000,25000,30000,30000,32000,30000,30000,30000,35000,30000,30000,32000,30000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,28000,30000,33000,30000,30000,29000,30000,35000,30129,25000
41,Pasar Kelapa Gading,25000,25000,25000,25000,35000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,41129,25000
42,Pasar Pademangan Timur,30000,30000,30000,30000,30000,30000,32000,32000,30000,30000,30000,28000,38000,40000,38000,38000,38000,35000,35000,35000,30000,35000,35000,35000,35000,35000,40000,40000,40000,35000,40000,40000,34161,28000
43,Pasar Pluit,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,45000,45000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,42258,35000
44,Pasar Kalibaru,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38710,35000
45,Pasar Koja Baru,25000,35000,35000,35000,40000,35000,40000,40000,40000,40000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,40000,25000
46,Pasar Rawamangun,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,50000,50000,50000,50000,50000,45806,45000
47,Pasar Klender SS,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,31774,30000
48,Pasar Anyer Bahari,40000,35000,35000,45000,45000,50000,45000,45000,40000,40000,40000,50000,50000,50000,50000,50000,45000,40000,50000,40000,40000,40000,50000,40000,40000,55000,40000,40000,45000,45000,45000,55000,44032,35000
