No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,26000,25000,28000,29000,26000,27000,28000,27000,28000,27000,28000,28000,26000,27000,25000,26000,28000,25000,24000,25000,25000,24000,24000,23000,26000,30000,28000,26000,25000,27000,30000,30000,26484,23000
2,Pasar Senen Blok III - VI,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,40000,40000,40000,40000,40000,40000,50000,39032,35000
3,Pasar Jembatan Merah,45000,45000,45000,45000,45000,45000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,43548,40000
4,Pasar Sunter Podomoro,27000,37000,38000,32000,38000,37000,36000,39000,42000,40000,32000,44000,39000,39000,39000,39000,39000,40000,40000,39000,39000,39000,40000,40000,39000,40000,46000,47000,39000,47000,47000,47000,39323,27000
5,Pasar Rawa Badak,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,50000,50000,50000,50000,50000,50000,30000,30000,30000,30000,30000,30000,30000,50000,36613,30000
6,Pasar Grogol,30000,30000,30000,30000,38000,38000,40000,40000,40000,40000,40000,40000,40000,38000,35000,35000,35000,35000,37000,37000,37000,37000,37000,37000,37000,40000,40000,40000,40000,40000,40000,40000,37194,30000
7,Pasar Glodok,38000,38000,38000,40000,40000,40000,47000,47000,47000,47000,47000,47000,47000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,48000,48000,48000,45000,45000,50000,44742,38000
8,Pasar Minggu,35000,40000,40000,40000,40000,40000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,50000,50000,40806,35000
9,Pasar Mayestik,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
10,Pasar Pramuka,24000,24000,24000,24000,24000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,37419,24000
11,Pasar Kramat Jati,45000,40000,40000,30000,30000,45000,45000,40000,45000,45000,45000,40000,45000,45000,45000,40000,40000,40000,45000,40000,45000,40000,40000,45000,40000,45000,50000,45000,50000,45000,50000,50000,42742,30000
12,Pasar Jatinegara,35000,30000,30000,30000,40000,40000,35000,40000,40000,40000,40000,35000,40000,35000,40000,40000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,40000,40000,40000,45000,38387,30000
13,Pasar Perumnas Klender,25000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36774,25000
14,Pasar Pulo Gadung,25000,25000,25000,25000,35000,40000,46000,44000,44000,44000,44000,46000,44000,44000,44000,44000,44000,43000,40000,40000,42000,44000,44000,42000,44000,44000,44000,44000,44000,44000,44000,46000,40839,25000
15,Pasar Pal Meriam,30000,30000,30000,30000,30000,35000,35000,38000,40000,40000,40000,38000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,32000,35000,35000,35000,35000,40000,34935,30000
16,Pasar Ciplak,20000,20000,20000,20000,20000,20000,20000,32000,28000,28000,30000,38000,38000,38000,38000,38000,38000,36000,36000,36000,35000,35000,35000,35000,35000,30000,32000,30000,30000,30000,30000,38000,30677,20000
17,Pasar Cijantung,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,40000,45000,40806,40000
18,Pasar Cibubur,28000,28000,35000,30000,40000,38000,40000,40000,40000,45000,40000,40000,40000,38000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,38000,45000,45000,45000,40000,45000,45000,38548,28000
19,Pasar Ujung Menteng,26000,26000,26000,26000,26000,26000,26000,36000,36000,36000,38000,40000,40000,40000,40000,40000,38000,38000,40000,40000,40000,38000,40000,30000,38000,35000,35000,36000,42000,42000,42000,42000,35548,26000
20,Pasar Tanah Abang Blok A-G,35000,35000,35000,35000,35000,35000,35000,35000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,44677,35000
21,Pasar Petojo Ilir,35000,35000,35000,35000,30000,30000,37000,35000,45000,40000,40000,40000,40000,40000,40000,38000,38000,38000,50000,40000,36000,36000,40000,40000,40000,35000,35000,40000,40000,35000,35000,50000,37839,30000
22,Pasar Gondangdia,30000,40000,40000,40000,40000,40000,48000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,48000,48000,48000,43355,30000
23,Pasar Paseban,30000,35000,35000,30000,30000,35000,35000,30000,35000,30000,35000,40000,40000,35000,35000,40000,40000,35000,35000,30000,40000,35000,35000,35000,35000,35000,35000,35000,40000,35000,40000,40000,35161,30000
24,Pasar Cempaka Putih,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
25,Pasar Johar Baru,30000,30000,30000,30000,40000,40000,35000,35000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,32000,35000,35000,32000,35000,35000,40000,40000,35000,41000,41000,40000,41000,35677,30000
26,Pasar Baru Metro Atom,40000,35000,35000,35000,35000,45000,45000,45000,45000,45000,40000,45000,45000,45000,50000,50000,50000,50000,45000,50000,50000,45000,45000,45000,45000,45000,45000,50000,50000,50000,50000,50000,45000,35000
27,Pasar Kebayoran Lama,40000,38000,40000,38000,39000,39000,39000,38000,38000,39000,39000,40000,40000,40000,40000,40000,38000,38000,35000,38000,40000,35000,40000,40000,40000,45000,45000,45000,45000,45000,40000,45000,39871,35000
28,Pasar Cipete,25000,25000,25000,25000,28000,38000,40000,40000,40000,42000,36000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40000,45000,45000,45000,38032,25000
29,Pasar Pesanggrahan,35000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,48000,50000,50000,50000,50000,50000,50000,41548,30000
30,Pasar Pondok Labu,35000,40000,40000,40000,40000,40000,50000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,50000,41290,35000
31,Pasar Lenteng Agung,30000,30000,30000,30000,30000,35000,35000,35000,45000,45000,45000,42000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,40000,38000,40000,40000,40000,40000,45000,42000,45000,38484,30000
32,Pasar Mampang Prapatan,34000,38000,38000,34000,34000,38000,38000,40000,40000,40000,40000,35000,35000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,44000,44000,44000,44000,44000,44000,44000,38839,34000
33,Pasar Tebet Barat,40000,35000,35000,35000,40000,40000,40000,45000,45000,40000,40000,40000,40000,45000,45000,45000,45000,50000,40000,40000,45000,45000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,43548,35000
