No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
28,Pasar Cipete,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,23167,20000
29,Pasar Pesanggrahan,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,28000,28000,28000,28000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,28233,25000
30,Pasar Pondok Labu,20000,20000,20000,20000,20000,20000,30000,25000,25000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,35000,35000,35000,25500,20000
31,Pasar Lenteng Agung,24000,20000,24000,24000,24000,24000,24000,24000,25000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,23000,24000,24000,25000,25000,25000,28000,25000,30000,24733,20000
32,Pasar Mampang Prapatan,15000,18000,18000,18000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,30000,30000,35000,35000,23467,15000
33,Pasar Tebet Barat,24000,30000,30000,25000,25000,25000,24000,30000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,30000,30000,35000,35000,40000,40000,28933,24000
34,Pasar Rumput,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,24000,24000,20000,25000,20000,20000,20000,23000,23000,28000,28000,35000,35000,35000,35000,30000,30000,30000,35000,35000,27600,20000
35,Pasar Tomang Barat,25000,25000,25000,25000,25000,25000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,28000,28000,28000,25000,28000,28000,28000,30000,30000,30000,30000,28367,25000
36,Pasar Cengkareng,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
37,Pasar Kalideres,23000,25000,22000,22000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,28000,28000,30000,30000,30000,32000,25000,32000,30000,30000,28000,30000,32000,27500,22000
38,Pasar Pos Pengumben,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,28000,28000,28000,28000,28000,28000,28000,32000,32000,40000,40000,25200,20000
39,Pasar Pal Merah,25000,22000,24000,20000,22000,22000,25000,26000,25000,30000,25000,25000,25000,25000,25000,25000,25000,22000,25000,25000,25000,25000,28000,27000,26000,24000,24000,30000,25000,38000,38000,25333,20000
40,Pasar Jembatan Lima,16000,16000,18000,16000,16000,20000,20000,22500,20000,20000,19000,20000,20000,19000,18000,20000,20000,20000,19000,20000,20000,20000,20000,20000,22000,23000,23000,22000,20000,25000,25000,19817,16000
41,Pasar Kelapa Gading,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
42,Pasar Pademangan Timur,20000,20000,20000,20000,20000,20000,22000,20000,20000,20000,20000,20000,20000,24000,25000,25000,25000,25000,25000,27000,30000,25000,27000,30000,30000,30000,30000,30000,30000,30000,30000,24333,20000
43,Pasar Pluit,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
44,Pasar Kalibaru,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,30000,30000,30000,30000,26167,20000
45,Pasar Koja Baru,25000,30000,30000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,30000,26667,25000
46,Pasar Rawamangun,35000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33900,32000
47,Pasar Klender SS,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,27333,25000
48,Pasar Anyer Bahari,35000,30000,30000,25000,25000,25000,25000,35000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,40000,35000,40000,40000,40000,32000,25000
