No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,16000,15000,15000,13000,13000,13000,14000,14000,15000,14000,13000,13000,12000,11000,11000,12000,10000,10000,10000,11000,9000,10000,9000,9000,10000,10000,10000,10000,11000,12000,11000,16000,11806,9000
2,Pasar Senen Blok III - VI,30000,30000,30000,25000,28000,28000,28000,28000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25968,25000
3,Pasar Jembatan Merah,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,40000,33226,25000
4,Pasar Sunter Podomoro,31000,32000,28000,25000,25000,25000,30000,26000,25000,30000,30000,31000,31000,30000,30000,30000,30000,30000,30000,30000,31000,31000,30000,31000,31000,31000,31000,30000,26000,26000,26000,32000,29129,25000
5,Pasar Rawa Badak,30000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30161,30000
6,Pasar Grogol,22000,22000,22000,22000,22000,24000,24000,24000,24000,24000,22000,22000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,21548,20000
7,Pasar Glodok,33000,33000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22000,22000,22000,22000,22000,35000,27935,22000
8,Pasar Minggu,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,30000,24516,20000
9,Pasar Mayestik,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,36613,35000
10,Pasar Pramuka,30000,30000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,30000,27742,25000
11,Pasar Kramat Jati,25000,25000,25000,30000,30000,35000,35000,35000,35000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,26935,25000
12,Pasar Jatinegara,25000,30000,30000,30000,25000,30000,30000,30000,30000,25000,25000,25000,27000,25000,30000,30000,25000,25000,26000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,26710,25000
13,Pasar Perumnas Klender,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,20000,20000,20000,20000,20000,30000,24355,20000
14,Pasar Pulo Gadung,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24000,24000,24000,25000,25000,25000,24000,25000,24000,24000,24000,24000,24000,24000,24000,24000,20000,24000,24000,24000,20000,25000,24194,20000
15,Pasar Pal Meriam,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,24000,19226,18000
16,Pasar Ciplak,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,24000,20903,20000
17,Pasar Cijantung,28000,25000,25000,28000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,20000,20000,20000,20000,20000,20000,28000,23548,20000
18,Pasar Cibubur,28000,28000,25000,22000,22000,28000,24000,25000,25000,26000,24000,24000,22000,24000,24000,24000,24000,22000,22000,22000,24000,24000,20000,20000,22000,22000,22000,22000,24000,24000,18000,28000,23452,18000
19,Pasar Ujung Menteng,25000,25000,23000,22000,23000,25000,25000,25000,25000,20000,20000,20000,28000,28000,28000,28000,20000,20000,20000,20000,25000,25000,20000,20000,20000,20000,20000,25000,20000,20000,20000,28000,22742,20000
20,Pasar Tanah Abang Blok A-G,35000,25000,25000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,35000,29355,25000
21,Pasar Petojo Ilir,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,28000,28000,28000,28000,28000,28000,35000,35000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,27839,25000
22,Pasar Gondangdia,30000,30000,35000,35000,35000,35000,35000,35000,35000,30000,35000,35000,35000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,35000,30323,25000
23,Pasar Paseban,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,25000,25000,30000,30000,30000,30000,25000,30000,30000,25000,30000,25000,25000,25000,30000,25000,25000,30000,28387,25000
24,Pasar Cempaka Putih,22000,22000,22000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,35000,25000,20000,20000,20000,20000,20000,20000,20000,20000,35000,25355,20000
25,Pasar Johar Baru,27000,27000,26000,27000,23000,24000,24000,24000,24000,24000,26000,26000,26000,35000,23000,24000,25000,26000,27000,26000,21000,21000,21000,20000,22000,20000,23000,23000,24000,23000,22000,35000,24323,20000
26,Pasar Baru Metro Atom,30000,30000,30000,35000,35000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,35000,25000,25000,25000,30000,30000,30000,30000,35000,31129,25000
27,Pasar Kebayoran Lama,25000,25000,25000,25000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,28000,28000,28000,28000,28000,28000,25000,25000,25000,25000,25000,30000,27613,25000
28,Pasar Cipete,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,21935,20000
29,Pasar Pesanggrahan,30000,30000,30000,30000,25000,30000,25000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,26290,25000
30,Pasar Pondok Labu,30000,30000,25000,25000,25000,25000,30000,30000,30000,20000,20000,20000,25000,25000,25000,25000,20000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,30000,23065,20000
31,Pasar Lenteng Agung,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,24000,30000,26258,20000
32,Pasar Mampang Prapatan,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,25000,24000,24000,24000,20000,20000,15000,15000,25000,23194,15000
33,Pasar Tebet Barat,30000,30000,35000,35000,25000,25000,30000,30000,30000,25000,25000,30000,25000,30000,25000,25000,25000,28000,30000,25000,30000,30000,25000,25000,25000,25000,25000,25000,25000,20000,25000,35000,27194,20000
34,Pasar Rumput,30000,30000,28000,28000,28000,28000,28000,28000,28000,28000,28000,25000,25000,25000,30000,30000,30000,30000,28000,28000,25000,25000,25000,28000,25000,25000,25000,23000,23000,23000,23000,30000,26871,23000
35,Pasar Tomang Barat,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,32000,28000,26000,26000,28000,28000,28000,25000,25000,25000,26000,25000,25000,25000,32000,28452,25000
36,Pasar Cengkareng,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,28065,25000
37,Pasar Kalideres,25000,28000,25000,20000,25000,25000,25000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,28000,28000,25000,25000,25000,25000,18000,18000,20000,25000,28000,24194,18000
38,Pasar Pos Pengumben,28000,28000,32000,32000,28000,28000,28000,28000,28000,24000,28000,28000,24000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,32000,23355,20000
