No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
28,Pasar Cipete,30000,35000,35000,35000,30000,30000,35000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,40000,40000,40000,40000,35000,30000,38000,35000,35000,35000,35000,30000,45000,37267,30000
29,Pasar Pesanggrahan,32000,32000,35000,30000,30000,35000,40000,40000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,40000,40000,35000,35000,35000,36000,36000,35000,40000,37067,30000
30,Pasar Pondok Labu,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,35000,35000,35000,40000,40000,40000,40000,40000,40000,39367,35000
31,Pasar Lenteng Agung,40000,40000,40000,40000,40000,40000,35000,40000,40000,40000,40000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,38000,40000,40000,35000,35000,35000,40000,38800,35000
32,Pasar Mampang Prapatan,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36000,36000,36000,45000,37433,30000
33,Pasar Tebet Barat,50000,50000,50000,50000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,45000,45000,45000,40000,45000,35000,35000,50000,45000,35000
34,Pasar Rumput,35000,40000,40000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,35000,35000,35000,30000,30000,35000,35000,30000,35000,30000,30000,30000,40000,34667,30000
35,Pasar Tomang Barat,32000,32000,32000,32000,32000,36000,36000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36000,36000,36000,36000,36000,35000,35000,35000,40000,37233,32000
36,Pasar Cengkareng,70000,70000,70000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,70000,34000,30000
37,Pasar Kalideres,35000,35000,40000,45000,40000,50000,50000,50000,50000,50000,45000,45000,40000,40000,40000,45000,45000,45000,40000,40000,45000,40000,40000,40000,45000,30000,30000,35000,35000,40000,50000,41667,30000
