No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
27,Pasar Kebayoran Lama,55000,58000,60000,60000,60000,58000,58000,60000,58000,70000,70000,75000,75000,75000,75000,80000,80000,80000,70000,70000,70000,70000,60000,68000,68000,65000,58000,60000,70000,70000,70000,80000,66968,55000
28,Pasar Cipete,60000,60000,60000,60000,65000,70000,70000,70000,75000,75000,75000,70000,80000,85000,85000,85000,80000,80000,85000,75000,75000,65000,65000,65000,65000,60000,60000,65000,65000,60000,70000,85000,70323,60000
29,Pasar Pesanggrahan,70000,70000,65000,75000,75000,76000,75000,85000,110000,110000,100000,85000,98000,90000,95000,90000,90000,75000,77000,77000,70000,70000,65000,65000,65000,65000,75000,75000,70000,70000,65000,110000,78806,65000
30,Pasar Pondok Labu,70000,70000,70000,70000,70000,70000,70000,70000,70000,90000,90000,80000,80000,90000,80000,85000,80000,80000,80000,80000,80000,80000,70000,80000,80000,80000,70000,70000,70000,70000,70000,90000,76290,70000
31,Pasar Lenteng Agung,70000,65000,65000,70000,75000,70000,70000,75000,75000,75000,70000,70000,70000,85000,85000,80000,70000,80000,70000,80000,80000,80000,80000,80000,75000,75000,70000,70000,70000,70000,70000,85000,73871,65000
32,Pasar Mampang Prapatan,70000,70000,70000,75000,75000,75000,75000,85000,75000,75000,75000,75000,75000,90000,90000,90000,90000,80000,80000,80000,80000,80000,80000,80000,80000,80000,70000,70000,70000,70000,70000,90000,77419,70000
33,Pasar Tebet Barat,70000,70000,70000,70000,70000,60000,60000,75000,80000,70000,70000,70000,70000,100000,85000,75000,75000,75000,70000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,70000,100000,75323,60000
34,Pasar Rumput,65000,65000,65000,70000,70000,70000,70000,70000,80000,80000,85000,80000,90000,90000,90000,80000,80000,85000,80000,75000,70000,75000,70000,75000,65000,65000,70000,65000,70000,70000,70000,90000,74355,65000
35,Pasar Tomang Barat,65000,65000,65000,65000,65000,65000,70000,70000,75000,75000,75000,85000,85000,85000,85000,80000,80000,80000,70000,65000,70000,70000,70000,70000,70000,70000,65000,65000,65000,65000,65000,85000,71452,65000
36,Pasar Cengkareng,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,71774,70000
37,Pasar Kalideres,75000,75000,75000,75000,75000,75000,75000,75000,100000,100000,100000,75000,75000,75000,75000,85000,85000,85000,85000,70000,65000,65000,65000,65000,65000,65000,70000,70000,70000,70000,70000,100000,75806,65000
38,Pasar Pos Pengumben,70000,70000,70000,70000,70000,80000,70000,80000,70000,100000,100000,100000,70000,70000,70000,100000,100000,100000,100000,100000,75000,75000,75000,75000,75000,75000,70000,70000,70000,70000,70000,100000,79355,70000
39,Pasar Pal Merah,75000,70000,75000,75000,80000,80000,70000,75000,80000,85000,85000,95000,85000,85000,80000,85000,85000,85000,85000,85000,80000,75000,70000,75000,75000,70000,75000,75000,75000,75000,75000,95000,78710,70000
40,Pasar Jembatan Lima,55000,55000,55000,55000,50000,53000,55000,70000,70000,70000,70000,70000,72000,80000,70000,70000,70000,70000,65000,62000,60000,55000,60000,60000,60000,60000,60000,60000,55000,55000,65000,80000,62484,50000
41,Pasar Kelapa Gading,70000,75000,75000,75000,75000,70000,70000,70000,70000,70000,70000,70000,100000,95000,95000,95000,95000,80000,80000,80000,75000,75000,75000,75000,75000,75000,75000,70000,70000,70000,70000,100000,76935,70000
42,Pasar Pademangan Timur,60000,75000,70000,70000,70000,70000,75000,80000,80000,80000,80000,80000,80000,85000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,65000,65000,70000,70000,70000,85000,75968,60000
43,Pasar Pluit,70000,70000,70000,70000,70000,70000,70000,70000,100000,100000,10000,100000,100000,100000,100000,100000,100000,90000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,100000,80645,10000
44,Pasar Kalibaru,70000,70000,70000,70000,80000,80000,80000,80000,80000,85000,85000,80000,80000,80000,80000,80000,80000,80000,80000,70000,70000,70000,70000,70000,70000,60000,60000,60000,60000,60000,60000,85000,73226,60000
45,Pasar Koja Baru,70000,65000,65000,65000,65000,70000,80000,80000,80000,95000,95000,90000,80000,80000,80000,90000,90000,90000,90000,85000,80000,80000,80000,80000,60000,70000,70000,70000,70000,70000,70000,95000,77581,60000
46,Pasar Rawamangun,75000,75000,75000,85000,85000,85000,80000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,70000,70000,70000,70000,70000,70000,70000,70000,70000,65000,90000,81129,65000
47,Pasar Klender SS,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
48,Pasar Anyer Bahari,70000,65000,65000,65000,80000,65000,70000,70000,70000,70000,70000,70000,90000,80000,80000,80000,80000,80000,70000,80000,80000,80000,75000,75000,75000,75000,70000,70000,70000,70000,70000,90000,73548,65000
