No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
27,Pasar Kebayoran Lama,48000,40000,45000,45000,45000,45000,45000,45000,50000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,47000,47000,48000,48000,45000,45000,45000,45000,40000,40000,50000,46710,40000
28,Pasar Cipete,45000,45000,45000,45000,45000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,46000,46000,45000,45000,48000,46000,45000,40000,40000,40000,40000,40000,40000,45000,35000,48000,43581,35000
29,Pasar Pesanggrahan,44000,44000,45000,45000,45000,45000,45000,45000,48000,48000,48000,45000,45000,42000,42000,45000,45000,45000,45000,45000,35000,35000,28000,28000,38000,40000,40000,30000,30000,32000,32000,48000,40935,28000
30,Pasar Pondok Labu,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,50000,50000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,40000,60000,51774,40000
31,Pasar Lenteng Agung,40000,40000,40000,40000,35000,35000,40000,40000,35000,35000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,40000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,45000,40968,35000
32,Pasar Mampang Prapatan,35000,35000,35000,35000,35000,35000,35000,35000,35000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40645,35000
33,Pasar Tebet Barat,50000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49677,40000
34,Pasar Rumput,45000,45000,40000,45000,50000,40000,45000,45000,40000,45000,50000,50000,45000,40000,40000,45000,45000,45000,50000,45000,40000,45000,40000,40000,35000,40000,45000,40000,40000,40000,40000,50000,43226,35000
35,Pasar Tomang Barat,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,45000,41774,35000
36,Pasar Cengkareng,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
37,Pasar Kalideres,45000,40000,40000,40000,45000,40000,45000,45000,35000,35000,40000,40000,40000,40000,40000,40000,40000,45000,40000,40000,45000,40000,35000,35000,45000,45000,45000,45000,45000,35000,35000,45000,40806,35000
38,Pasar Pos Pengumben,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,40000,40000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,40000,50000,40000,40000,50000,40000,40000,40000,50000,44194,40000
39,Pasar Pal Merah,45000,45000,46000,45000,48000,48000,40000,45000,50000,55000,55000,55000,55000,40000,50000,45000,50000,45000,45000,45000,45000,40000,45000,45000,40000,45000,40000,45000,45000,40000,45000,55000,46032,40000
40,Pasar Jembatan Lima,38000,33000,38000,35000,30000,35000,35000,35000,40000,40000,38000,38000,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,28000,30000,30000,30000,30000,30000,30000,40000,34129,28000
41,Pasar Kelapa Gading,50000,50000,50000,50000,50000,50000,55000,55000,55000,55000,55000,50000,50000,50000,50000,50000,50000,50000,45000,45000,45000,45000,50000,50000,50000,50000,50000,45000,40000,40000,40000,55000,49032,40000
42,Pasar Pademangan Timur,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,47000,45000,45000,45000,45000,45000,40000,45000,45000,45000,45000,45000,30000,30000,30000,30000,47000,40710,30000
43,Pasar Pluit,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
44,Pasar Kalibaru,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,35645,30000
45,Pasar Koja Baru,40000,40000,40000,40000,45000,45000,45000,40000,40000,43000,40000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,40000,40000,45000,42032,40000
46,Pasar Rawamangun,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,50000,46935,40000
47,Pasar Klender SS,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
48,Pasar Anyer Bahari,40000,45000,40000,45000,45000,45000,40000,40000,40000,40000,43000,43000,43000,42000,42000,40000,40000,45000,40000,40000,40000,20000,40000,40000,40000,40000,40000,40000,50000,40000,40000,50000,40903,20000
