No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
27,Pasar Kebayoran Lama,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,23000,25000,20000,25000,25000,25000,25000,32000,26000,25000,25000,25000,25000,25000,25000,32000,22452,20000
28,Pasar Cipete,18000,18000,18000,18000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,25000,20000,25000,25000,25000,20355,18000
29,Pasar Pesanggrahan,20000,20000,20000,20000,20000,20000,20000,20000,32000,30000,32000,32000,32000,28000,28000,28000,28000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,25000,26000,26000,25000,32000,25548,20000
30,Pasar Pondok Labu,30000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30161,30000
31,Pasar Lenteng Agung,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,25000,24000,24000,24000,24000,24000,24000,22000,24000,24000,20000,20000,20000,20000,24000,24000,25000,25000,25000,25000,25000,25000,23613,20000
32,Pasar Mampang Prapatan,20000,20000,20000,20000,20000,20000,20000,20000,20000,24000,24000,24000,24000,24000,24000,24000,24000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,26000,26000,26000,26000,26000,22452,20000
33,Pasar Tebet Barat,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,35000,30000,25000
34,Pasar Rumput,22000,20000,20000,25000,25000,25000,25000,25000,25000,25000,23000,23000,20000,20000,20000,20000,20000,23000,22000,22000,20000,25000,22000,22000,25000,25000,25000,25000,25000,22000,25000,25000,22935,20000
35,Pasar Tomang Barat,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
36,Pasar Cengkareng,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
37,Pasar Kalideres,25000,25000,25000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24516,20000
38,Pasar Pos Pengumben,20000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,26129,20000
39,Pasar Pal Merah,24000,24000,24000,20000,25000,18000,23000,25000,24000,24000,23000,25000,23000,22000,24000,25000,25000,25000,26000,23000,23000,22000,24000,24000,25000,24000,22000,23000,25000,25000,25000,26000,23677,18000
40,Pasar Jembatan Lima,20000,20000,15000,15000,15000,20000,20000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,25000,25000,25000,30000,30000,30000,30000,25000,30000,30000,23387,15000
41,Pasar Kelapa Gading,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
42,Pasar Pademangan Timur,20000,22000,22000,20000,22000,22000,22000,22000,22000,22000,22000,23000,22000,20000,22000,22000,23000,22000,22000,22000,27000,25000,25000,25000,25000,27000,27000,27000,27000,27000,26000,27000,23355,20000
43,Pasar Pluit,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
44,Pasar Kalibaru,20000,20000,20000,20000,20000,20000,20000,25000,25000,24000,25000,20000,25000,20000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,23032,20000
45,Pasar Koja Baru,22000,22000,22000,22000,22000,22000,22000,25000,25000,25000,26000,25000,25000,25000,25000,27000,26000,26000,27000,26000,26000,26000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,25226,22000
46,Pasar Rawamangun,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,26129,25000
47,Pasar Klender SS,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
48,Pasar Anyer Bahari,22000,30000,30000,27000,32000,32000,20000,25000,25000,25000,26000,25000,25000,25000,30000,30000,30000,30000,28000,25000,28000,27000,23000,23000,30000,30000,28000,28000,28000,28000,28000,32000,27194,20000
