No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,17000,18000,21000,24000,20000,21000,23000,21000,22000,23000,21000,22000,18000,17000,13000,14000,15000,15000,16000,17000,16000,20000,19000,20000,21000,22000,23000,25000,24000,30000,30000,30000,20258,13000
2,Pasar Senen Blok III - VI,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,30000,35000,30323,30000
3,Pasar Jembatan Merah,35000,30000,40000,40000,40000,40000,40000,35000,50000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,50000,37258,30000
4,Pasar Sunter Podomoro,31000,26000,27000,30000,30000,32000,34000,35000,40000,35000,31000,34000,30000,30000,31000,39000,27000,40000,35000,28000,27000,30008,35000,30000,31000,35000,30000,35000,41000,40000,44000,44000,33000,26000
5,Pasar Rawa Badak,35000,30000,30000,30000,30000,30000,30000,34000,34000,34000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33935,30000
6,Pasar Grogol,24000,28000,24000,24000,36000,36000,36000,36000,36000,36000,32000,32000,32000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,34000,34000,36000,36000,40000,40000,40000,31226,24000
7,Pasar Glodok,35000,35000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,41613,35000
8,Pasar Minggu,25000,25000,25000,25000,25000,35000,35000,35000,35000,40000,40000,40000,40000,25000,25000,25000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,31774,25000
9,Pasar Mayestik,35000,35000,35000,35000,35000,45000,45000,45000,46000,46000,46000,46000,44000,46000,40000,40000,40000,40000,40000,40000,40000,40000,42000,42000,42000,42000,45000,45000,52000,52000,60000,60000,42774,35000
10,Pasar Pramuka,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,40000,35323,30000
11,Pasar Kramat Jati,40000,40000,40000,68000,48000,48000,48000,48000,48000,48000,48000,48000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,40000,40000,40000,40000,40000,40000,48000,48000,60000,68000,44290,40000
12,Pasar Jatinegara,30000,35000,30000,35000,35000,25000,35000,40000,25000,30000,35000,30000,32000,20000,30000,30000,30000,30000,25000,25000,25000,35000,35000,30000,30000,30000,35000,40000,40000,30000,50000,50000,31839,20000
13,Pasar Perumnas Klender,25000,30000,25000,25000,25000,30000,30000,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,33387,25000
14,Pasar Pulo Gadung,30000,30000,30000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,32000,32000,32000,32000,32000,32000,32000,33000,33000,33000,33000,33000,32000,33000,32000,32000,32000,32000,40000,34419,30000
15,Pasar Pal Meriam,25000,28000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,26000,26000,26000,26000,25000,25000,26000,26000,28000,28000,28000,28000,30000,30000,35000,35000,35000,35000,27129,25000
16,Pasar Ciplak,24000,24000,32000,30000,30000,30000,24000,24000,24000,24000,24000,24000,28000,28000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,32000,25097,24000
17,Pasar Cijantung,30000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,35000,40000,40000,40000,35000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,45000,45000,50000,50000,37097,30000
18,Pasar Cibubur,22000,25000,25000,24000,24000,25000,28000,32000,30000,34000,32000,32000,32000,32000,28000,25000,28000,28000,28000,22000,22000,23000,34000,32000,30000,30000,26000,24000,28000,26000,28000,34000,27710,22000
19,Pasar Ujung Menteng,28000,28000,28000,28000,28000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,29613,28000
20,Pasar Tanah Abang Blok A-G,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,40000,40000,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,40000,35000,35000,35000,40000,40000,40000,40000,40000,33548,30000
21,Pasar Petojo Ilir,30000,30000,30000,30000,30000,35000,35000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,40000,40000,35000,35000,35000,38000,38000,40000,40000,45000,45000,35839,30000
