No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
27,Pasar Kebayoran Lama,38000,40000,38000,40000,40000,38000,38000,38000,36000,37000,40000,40000,40000,37000,37000,50000,50000,48000,50000,48000,48000,48000,55000,55000,55000,50000,50000,50000,50000,50000,50000,55000,44645,36000
28,Pasar Cipete,35000,35000,35000,35000,36000,35000,35000,35000,35000,40000,40000,40000,40000,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,45000,45000,45000,45000,37290,35000
29,Pasar Pesanggrahan,35000,35000,35000,35000,35000,30000,32000,32000,35000,35000,35000,35000,35000,35000,35000,45000,45000,44000,45000,45000,45000,45000,55000,45000,45000,45000,45000,45000,45000,45000,48000,55000,40194,30000
30,Pasar Pondok Labu,40000,40000,40000,40000,40000,40000,40000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,42097,35000
31,Pasar Lenteng Agung,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,45000,50000,50000,45000,45000,45000,50000,37742,35000
32,Pasar Mampang Prapatan,36000,36000,36000,36000,30000,30000,30000,30000,30000,30000,36000,36000,36000,36000,36000,36000,36000,45000,45000,45000,45000,45000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,41806,30000
33,Pasar Tebet Barat,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,50000,50000,60000,60000,60000,60000,55000,55000,50000,55000,50000,60000,42419,35000
34,Pasar Rumput,30000,30000,30000,30000,30000,30000,35000,30000,30000,30000,30000,35000,35000,35000,35000,35000,40000,40000,40000,40000,45000,45000,45000,45000,50000,50000,45000,50000,50000,45000,45000,50000,38226,30000
35,Pasar Tomang Barat,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,45000,45000,45000,40000,40000,55000,55000,55000,55000,45000,45000,45000,45000,45000,55000,41290,35000
36,Pasar Cengkareng,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,34516,30000
37,Pasar Kalideres,40000,35000,35000,35000,35000,35000,32000,32000,32000,30000,35000,35000,30000,35000,35000,35000,45000,40000,40000,38000,50000,50000,50000,45000,45000,45000,45000,45000,40000,45000,50000,50000,39323,30000
38,Pasar Pos Pengumben,35000,35000,35000,30000,30000,30800,30800,30800,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,50000,50000,50000,50000,50000,50000,50000,50000,50000,38142,30000
39,Pasar Pal Merah,38000,40000,40000,38000,38000,35000,40000,40000,40000,38000,40000,40000,40000,40000,40000,40000,40000,40000,40000,55000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,40000,55000,43129,35000
40,Pasar Jembatan Lima,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,35000,32000,32000,32000,32000,32000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,36000,40000,35581,32000
41,Pasar Kelapa Gading,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,50000,50000,50000,39032,35000
42,Pasar Pademangan Timur,30000,30000,30000,30000,30000,30000,30000,30000,30000,33000,33000,30000,30000,30000,30000,30000,32000,37000,35000,35000,35000,37000,35000,35000,35000,40000,35000,40000,37000,40000,42000,42000,33419,30000
43,Pasar Pluit,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,47419,40000
44,Pasar Kalibaru,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,45000,45000,45000,45000,40000,40000,40000,45000,40000,40000,40000,40000,40000,40000,40000,40000,45000,37258,30000
45,Pasar Koja Baru,40000,40000,40000,40000,40000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,50000,45000,50000,50000,50000,50000,42258,35000
46,Pasar Rawamangun,38000,38000,45000,45000,38000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,50000,60000,60000,60000,60000,50000,50000,50000,50000,50000,50000,60000,45452,38000
47,Pasar Klender SS,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,34516,30000
48,Pasar Anyer Bahari,40000,40000,35000,35000,40000,35000,35000,35000,30000,45000,40000,40000,40000,40000,40000,50000,50000,40000,40000,40000,40000,40000,50000,60000,60000,50000,50000,50000,50000,50000,50000,60000,43226,30000
