No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,35000,40000,45000,40000,40000,40000,57000,58000,55000,35000,32000,28000,31000,35000,33000,31000,32000,34000,37000,39000,40000,39000,41000,42000,40000,39000,42000,45000,43000,42000,58000,39667,28000
2,Pasar Senen Blok III - VI,30000,30000,30000,30000,30000,35000,30000,30000,30000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,35000,30500,25000
3,Pasar Jembatan Merah,35000,35000,35000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,49833,35000
4,Pasar Sunter Podomoro,35000,32000,40000,40000,40000,40000,27000,41000,45000,48000,44000,42000,39000,38000,39000,38000,48000,49000,47000,46000,48000,35000,54000,35000,59000,58000,58000,58000,58000,58000,59000,44633,27000
5,Pasar Rawa Badak,35000,35000,35000,60000,60000,60000,70000,70000,70000,50000,50000,30000,30000,50000,50000,50000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,55000,55000,65000,55000,70000,49500,30000
6,Pasar Grogol,48000,48000,65000,70000,70000,70000,70000,70000,50000,60000,60000,40000,48000,50000,50000,50000,48000,50000,50000,50000,50000,50000,68000,65000,65000,50000,48000,60000,60000,55000,70000,56267,40000
7,Pasar Glodok,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,50000,55000,55000,55000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,56833,50000
8,Pasar Minggu,40000,50000,60000,60000,60000,60000,60000,60000,60000,60000,40000,40000,40000,37000,50000,50000,50000,50000,50000,55000,50000,50000,50000,55000,55000,55000,55000,60000,60000,60000,60000,52733,37000
9,Pasar Mayestik,60000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,65000,65000,65000,60000,65000,65000,65000,65000,60000,50000
10,Pasar Pramuka,35000,35000,50000,50000,50000,50000,50000,50000,50000,65000,65000,65000,65000,65000,65000,65000,45000,45000,45000,45000,45000,45000,45000,60000,60000,60000,60000,60000,60000,60000,65000,53667,35000
11,Pasar Kramat Jati,60000,60000,60000,70000,70000,70000,70000,70000,70000,45000,40000,40000,40000,40000,40000,40000,52000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,70000,70000,70000,70000,58233,40000
12,Pasar Jatinegara,45000,40000,40000,50000,50000,50000,50000,30000,35000,35000,40000,30000,50000,45000,45000,40000,50000,50000,45000,50000,60000,40000,50000,55000,45000,50000,60000,50000,60000,60000,60000,46667,30000
13,Pasar Perumnas Klender,35000,35000,40000,40000,40000,40000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,45000,45000,45000,45000,45000,45000,40167,35000
14,Pasar Pulo Gadung,32000,32000,32000,33000,33000,33000,36000,35000,35000,35000,35000,35000,35000,38000,48000,48000,48000,50000,52000,48000,58000,58000,58000,58000,54000,40000,55000,60000,58000,48000,60000,44000,32000
15,Pasar Pal Meriam,35000,35000,40000,40000,40000,40000,40000,60000,50000,50000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,40000,35000,40000,40000,40000,40000,50000,45000,43000,60000,41433,35000
16,Pasar Ciplak,24000,24000,24000,24000,24000,24000,24000,24000,24000,30000,30000,30000,30000,30000,30000,30000,30000,30000,20000,20000,20000,20000,20000,50000,50000,50000,50000,50000,50000,50000,50000,31200,20000
