No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
17,Pasar Cijantung,50000,50000,75000,75000,75000,70000,70000,60000,60000,50000,45000,50000,50000,50000,50000,50000,50000,55000,55000,55000,55000,50000,50000,60000,60000,60000,60000,60000,60000,58000,75000,57267,45000
18,Pasar Cibubur,30000,60000,28000,35000,35000,35000,80000,70000,70000,35000,35000,35000,28000,32000,34000,34000,38000,35000,45000,40000,45000,45000,45000,45000,40000,40000,50000,50000,55000,55000,80000,43467,28000
19,Pasar Ujung Menteng,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,45000,45000,50000,45000,45000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,50000,34667,30000
20,Pasar Tanah Abang Blok A-G,40000,35000,80000,60000,60000,60000,60000,60000,40000,30000,40000,50000,40000,40000,40000,35000,50000,40000,50000,40000,40000,40000,40000,50000,45000,40000,40000,40000,50000,45000,80000,46000,30000
21,Pasar Petojo Ilir,45000,45000,45000,60000,60000,60000,60000,60000,60000,40000,40000,35000,35000,35000,45000,45000,45000,45000,45000,45000,55000,55000,55000,50000,50000,50000,54000,60000,60000,60000,60000,49967,35000
22,Pasar Gondangdia,45000,45000,55000,55000,55000,55000,55000,55000,55000,60000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,55000,50000,55000,60000,60000,60000,60000,60000,52667,45000
23,Pasar Paseban,30000,30000,30000,30000,30000,30000,30000,55000,50000,30000,50000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,45000,35000,45000,45000,40000,45000,55000,35000,30000
24,Pasar Cempaka Putih,30000,45000,45000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45833,30000
25,Pasar Johar Baru,45000,70000,70000,80000,80000,80000,80000,80000,80000,80000,35000,35000,50000,45000,45000,45000,45000,50000,50000,50000,50000,60000,60000,70000,70000,55000,60000,60000,60000,60000,80000,60000,35000
26,Pasar Baru Metro Atom,35000,35000,50000,50000,50000,50000,50000,50000,50000,50000,50000,65000,40000,40000,40000,60000,60000,60000,40000,40000,45000,45000,50000,50000,60000,60000,60000,60000,65000,65000,65000,50833,35000
27,Pasar Kebayoran Lama,30000,38000,36000,35000,36000,36000,35000,35000,35000,38000,38000,36000,40000,40000,40000,40000,38000,35000,35000,45000,45000,45000,45000,40000,40000,55000,55000,55000,40000,40000,55000,40033,30000
28,Pasar Cipete,33000,35000,35000,35000,35000,35000,35000,35000,35000,28000,45000,40000,45000,45000,45000,45000,46000,45000,40000,48000,50000,50000,45000,40000,55000,55000,55000,58000,58000,48000,58000,43300,28000
29,Pasar Pesanggrahan,45000,45000,65000,65000,65000,65000,65000,65000,65000,50000,40000,60000,65000,65000,35000,36000,50000,50000,50000,60000,50000,50000,50000,50000,50000,48000,50000,62000,60000,60000,65000,54533,35000
30,Pasar Pondok Labu,40000,40000,70000,70000,70000,60000,60000,60000,60000,50000,50000,50000,60000,50000,40000,40000,40000,40000,40000,40000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,70000,47833,40000
31,Pasar Lenteng Agung,30000,30000,30000,40000,40000,40000,55000,35000,35000,35000,35000,35000,30000,35000,35000,35000,35000,38000,40000,40000,48000,40000,40000,45000,45000,45000,48000,45000,50000,50000,55000,39467,30000
32,Pasar Mampang Prapatan,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49667,40000
33,Pasar Tebet Barat,30000,30000,30000,30000,30000,30000,30000,70000,70000,70000,50000,50000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,70000,47000,30000
34,Pasar Rumput,50000,40000,45000,50000,50000,50000,50000,50000,50000,40000,40000,45000,45000,50000,50000,55000,50000,50000,50000,50000,50000,55000,55000,55000,50000,55000,55000,60000,60000,55000,60000,50333,40000
35,Pasar Tomang Barat,45000,45000,45000,45000,45000,45000,45000,45000,50000,45000,45000,45000,50000,50000,50000,45000,45000,45000,45000,40000,40000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,48333,40000
36,Pasar Cengkareng,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
37,Pasar Kalideres,30000,45000,45000,80000,80000,80000,80000,80000,80000,65000,40000,40000,35000,60000,60000,60000,50000,50000,40000,40000,45000,40000,40000,40000,45000,45000,45000,60000,60000,60000,80000,54000,30000
38,Pasar Pos Pengumben,40000,40000,40000,65000,65000,65000,65000,65000,65000,40000,40000,40000,50000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,65000,51667,40000
39,Pasar Pal Merah,50000,70000,70000,70000,70000,70000,65000,60000,45000,40000,40000,40000,50000,50000,45000,45000,50000,42000,40000,45000,50000,40000,40000,60000,55000,60000,55000,60000,56000,56000,70000,52967,40000
40,Pasar Jembatan Lima,35000,40000,45000,45000,45000,45000,45000,60000,60000,60000,50000,45000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,60000,60000,44167,35000
41,Pasar Kelapa Gading,40000,40000,40000,90000,90000,90000,85000,85000,85000,55000,55000,55000,55000,55000,55000,55000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,90000,62333,40000
42,Pasar Pademangan Timur,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,35000,40000,40000,40000,40000,45000,40000,45000,45000,45000,45000,45000,45000,50000,50000,50000,60000,60000,60000,60000,44333,35000
43,Pasar Pluit,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,60000,60000,60000,60000,60000,70000,70000,70000,48667,40000
44,Pasar Kalibaru,40000,40000,70000,80000,80000,80000,80000,80000,80000,60000,60000,50000,45000,40000,40000,40000,45000,45000,45000,50000,50000,60000,60000,50000,50000,50000,50000,50000,50000,50000,80000,55667,40000
45,Pasar Koja Baru,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,50000,50000,50000,55000,55000,55000,55000,55000,55000,55000,55000,60000,60000,60000,60000,60000,60000,60000,53500,45000
46,Pasar Rawamangun,35000,35000,70000,70000,70000,70000,55000,55000,55000,55000,55000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,45000,45000,45000,40000,60000,70000,46000,35000
47,Pasar Klender SS,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
48,Pasar Anyer Bahari,40000,40000,60000,40000,40000,40000,40000,40000,40000,65000,45000,45000,50000,40000,40000,40000,55000,55000,50000,55000,55000,60000,60000,55000,55000,60000,60000,60000,60000,60000,65000,50167,40000
