No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Tertinggi,Rata-Rata,Terendah
27,Pasar Kebayoran Lama,35000,35000,35000,35000,35000,35000,35000,32000,32000,32000,32000,32000,32000,32000,32000,30000,25000,22000,22000,22000,22000,30000,30000,30000,32000,32000,35000,35000,35000,35000,27000,35000,31129,22000
28,Pasar Cipete,35000,35000,35000,37000,36000,36000,35000,32000,32000,32000,32000,32000,32000,32000,26000,26000,26000,25000,25000,25000,25000,25000,25000,25000,23000,23000,25000,25000,25000,25000,25000,37000,28935,23000
29,Pasar Pesanggrahan,32000,35000,32000,35000,36000,36000,35000,36000,28000,25000,25000,22000,22000,23000,25000,24000,35000,30000,30000,30000,35000,22000,20000,20000,20000,28000,28000,35000,20000,20000,20000,36000,27871,20000
30,Pasar Pondok Labu,40000,35000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,33710,30000
31,Pasar Lenteng Agung,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,27000,27000,27000,25000,25000,25000,25000,25000,25000,25000,35000,30355,25000
32,Pasar Mampang Prapatan,30000,30000,30000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,28000,28000,28000,28000,28000,28000,35000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,36000,28677,20000
33,Pasar Tebet Barat,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33548,30000
34,Pasar Rumput,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,25000,30000,30000,30000,30000,30000,30000,35000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,25000,35000,28387,20000
35,Pasar Tomang Barat,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,28000,28000,28000,28000,28000,28000,24000,28000,28000,28000,35000,31645,24000
36,Pasar Cengkareng,30000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,34516,30000
37,Pasar Kalideres,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,35000,35000,30000,30000,35000,30000,30000,30000,30000,30000,30000,27000,28000,35000,32903,27000
38,Pasar Pos Pengumben,38000,38000,38000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,25000,25000,40000,35774,25000
39,Pasar Pal Merah,32000,35000,34000,38000,34000,34000,35000,32000,40000,45000,40000,35000,35000,35000,20000,30000,33000,28000,30000,30000,25000,30000,30000,24000,28000,26000,26000,25000,26000,25000,27000,45000,31194,20000
40,Pasar Jembatan Lima,25000,28000,28000,28000,28000,30000,25000,25000,18000,18000,22000,22000,20000,20000,20000,20000,22000,25000,22000,23000,23000,23000,30000,20000,25000,25000,25000,25000,25000,25000,25000,30000,23871,18000
41,Pasar Kelapa Gading,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,27000,27000,27000,27000,27000,27000,27000,27000,25000,25000,25000,30000,28742,25000
42,Pasar Pademangan Timur,35000,35000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,35000,35000,35000,35000,30000,30000,30000,30000,30000,25000,25000,25000,20000,20000,20000,40000,31613,20000
43,Pasar Pluit,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,43548,40000
44,Pasar Kalibaru,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,28000,26935,25000
45,Pasar Koja Baru,,,,,,,,,,,,,,,,,,,,,,30000,30000,25000,25000,25000,25000,25000,25000,30000,30000,30000,27000,25000
46,Pasar Rawamangun,,,,,,,,,,,,,,,,,,,,,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
47,Pasar Klender SS,,,,,,,,,,,,,,,,,,,,,,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
48,Pasar Anyer Bahari,,,,,,,,,,,,,,,,,,,,,,,,,25000,26000,26000,22000,20000,20000,20000,26000,22714,20000
